Gender;Age;Breed;Number;Housing;Zone;Exterior Access;Observations;Timide;Calme;Effrayé;Intelligent;Vigilant;Perséverant;Affectueux;Amical;Solitaire;Brutal;Dominant;Aggressive;Impulsive;Predictable;Distracted
F;2a10;BRI;2;AAB;U;1;3;5;5;2;4;5;3;2;1;4;1;1;1;2;4;2
M;1a2;SBI;1;MI;R;1;3;4;5;1;5;4;4;5;5;1;1;1;1;1;3;3
M;1a2;MCO;1;MI;R;1;3;3;4;3;5;4;4;4;4;3;3;3;2;2;3;3
M;2a10;SPH;Plusde5;ML;U;2;2;1;4;1;5;5;5;5;5;1;1;1;1;1;3;4
F;Moinsde1;BEN;1;ML;U;0;2;2;1;3;5;5;5;3;2;3;4;4;3;3;4;3
M;Plusde10;BRI;4;MI;R;1;2;2;5;1;5;5;4;5;2;2;1;1;1;1;4;2
M;Moinsde1;NSP;4;ML;PU;2;2;2;1;1;4;4;5;4;3;1;1;4;3;2;3;2
M;1a2;NR;2;ML;U;0;1;4;3;1;4;4;4;4;4;2;1;4;1;1;3;3
F;2a10;EUR;2;ML;PU;3;2;4;4;3;5;5;5;4;2;4;1;3;3;2;4;4
M;Plusde10;EUR;2;ML;R;3;2;4;4;3;4;3;3;3;3;4;1;2;1;3;3;3
M;2a10;CHA;2;MI;R;0;2;2;4;1;4;4;3;5;5;3;3;3;1;3;4;3
F;1a2;Autre;2;MI;U;0;3;2;4;2;5;3;3;5;5;2;1;1;2;3;3;3
F;Moinsde1;NR;2;MI;R;0;2;1;1;1;5;2;4;4;5;2;4;3;2;4;4;4
F;2a10;EUR;5;AAB;U;2;2;2;4;3;5;5;5;3;4;4;3;4;1;1;4;3
F;2a10;NR;4;MI;R;0;1;1;3;2;5;4;4;5;3;3;3;4;3;3;3;1
F;Moinsde1;EUR;1;MI;PU;0;2;3;5;1;4;5;3;4;4;5;1;3;3;4;4;3
M;Moinsde1;NR;1;MI;R;2;2;4;3;4;4;2;4;4;3;4;2;3;1;4;4;4
M;1a2;BRI;2;MI;R;0;1;3;1;1;1;1;1;1;2;3;2;2;2;2;1;1
F;Moinsde1;NR;1;ASB;PU;0;2;2;4;2;4;4;4;5;4;4;1;4;1;1;3;4
F;1a2;EUR;2;AAB;PU;0;2;2;4;2;4;4;4;5;4;2;1;2;2;3;3;2
M;1a2;EUR;2;AAB;PU;0;2;5;4;4;4;5;3;4;3;2;1;3;2;2;3;5
